지점명,주소,브랜드,주소1,주소2,주소3
녹번대성GS점,서울특별시 은평구 통일로 642,버거킹,서울특별시,은평구,통일로 642
종로점,서울특별시 종로구 종로 94,버거킹,서울특별시,종로구,종로 94
종로구청점,서울특별시 종로구 삼봉로 57,버거킹,서울특별시,종로구,삼봉로 57
혜화역점,서울특별시 종로구 동숭길 148,버거킹,서울특별시,종로구,동숭길 148
서대문역점,서울특별시 중구 순화동 215 1층,버거킹,서울특별시,중구,순화동 215 1층
충무로역점,서울특별시 중구 퇴계로 216,버거킹,서울특별시,중구,퇴계로 216
약수역점,서울특별시 중구 다산로 142,버거킹,서울특별시,중구,다산로 142
신당역점,서울특별시 중구 다산로 258,버거킹,서울특별시,중구,다산로 258
동국대점,서울특별시 중구 필동로1길 30,버거킹,서울특별시,중구,필동로1길 30
황학이마트점,서울특별시 중구 청계천로 400,버거킹,서울특별시,중구,청계천로 400
숭례문점,서울특별시 중구 세종대로 23,버거킹,서울특별시,중구,세종대로 23
시청역점,서울특별시 중구 서소문로 136,버거킹,서울특별시,중구,서소문로 136
회현역점,서울특별시 중구 퇴계로 52 티마크그랜드호텔 명동 1층,버거킹,서울특별시,중구,퇴계로 52 티마크그랜드호텔 명동 1층
먹골역점,서울특별시 중랑구 동일로 890,버거킹,서울특별시,중랑구,동일로 890
망우점,서울특별시 중랑구 망우로 400,버거킹,서울특별시,중랑구,망우로 400
면목역점,서울특별시 중랑구 겸재로 180,버거킹,서울특별시,중랑구,겸재로 180
부산금정오일뱅크점,부산광역시 금정구 중앙대로 1664,버거킹,부산광역시,금정구,중앙대로 1664
부산대점,부산광역시 금정구 금정로 66,버거킹,부산광역시,금정구,금정로 66
부산정관DT점,부산광역시 기장군 정관읍 용수로 48,버거킹,부산광역시,기장군,정관읍 용수로 48
부산대연GS점,부산광역시 남구 수영로 288,버거킹,부산광역시,남구,수영로 288
부산용호분포SK점,부산광역시 남구 용호로 116,버거킹,부산광역시,남구,용호로 116
부산안락DT점,부산광역시 동래구 충렬대로 311,버거킹,부산광역시,동래구,충렬대로 311
부산태화점,부산광역시 부산진구 서전로10번길 64,버거킹,부산광역시,부산진구,서전로10번길 64
부산양정점,부산광역시 부산진구 중앙대로 900,버거킹,부산광역시,부산진구,중앙대로 900
부산서면일번가점,부산광역시 부산진구 서면로 48,버거킹,부산광역시,부산진구,서면로 48
부산화명점,부산광역시 북구 화명대로 44,버거킹,부산광역시,북구,화명대로 44
부산서부터미널점,부산광역시 사상구 사상로 201,버거킹,부산광역시,사상구,사상로 201
부산주례점,부산광역시 사상구 가야대로 298,버거킹,부산광역시,사상구,가야대로 298
부산괴정역점,부산광역시 사하구 사하로 200,버거킹,부산광역시,사하구,사하로 200
부산연산RFS점,부산광역시 연제구 중앙대로 1087,버거킹,부산광역시,연제구,중앙대로 1087
부산망미SK점,부산광역시 연제구 과정로 120 부흥주유소,버거킹,부산광역시,연제구,과정로 120 부흥주유소
부산센텀오일뱅크점,부산광역시 해운대구 해운대로 179,버거킹,부산광역시,해운대구,해운대로 179
해운대신도시1점,부산광역시 해운대구 좌동순환로 310,버거킹,부산광역시,해운대구,좌동순환로 310
해운대비치점,부산광역시 해운대구 구남로 27,버거킹,부산광역시,해운대구,구남로 27
해운대우동점,부산광역시 해운대구 해운대로452번길 16,버거킹,부산광역시,해운대구,해운대로452번길 16
부산센텀시티점,부산광역시 해운대구 센텀동로 25,버거킹,부산광역시,해운대구,센텀동로 25
대구대명FS점,대구광역시 남구 대명로 89,버거킹,대구광역시,남구,대명로 89
상인SK점,대구광역시 달서구 월배로 200,버거킹,대구광역시,달서구,월배로 200
대구성서이마트점,대구광역시 달서구 이곡동로 24,버거킹,대구광역시,달서구,이곡동로 24
대구죽전네거리DT,대구광역시 달서구 달구벌대로 1536,버거킹,대구광역시,달서구,달구벌대로 1536
대구월촌역FS점,대구광역시 달서구 월배로 320,버거킹,대구광역시,달서구,월배로 320
대구서재FS점,대구광역시 달성군 다사읍 서재로 66,버거킹,대구광역시,달성군,다사읍 서재로 66
대구테크노폴리스점,대구광역시 달성군 현풍면 테크노중앙대로 243,버거킹,대구광역시,달성군,현풍면 테크노중앙대로 243
대구율하점,대구광역시 동구 안심로22길 10,버거킹,대구광역시,동구,안심로22길 10
대구이시아폴리스점,대구광역시 동구 팔공로 49길 51,버거킹,대구광역시,동구,팔공로 49길 51
반야월이마트,대구광역시 동구 안심로 389-2,버거킹,대구광역시,동구,안심로 389-2
대구삼성창조캠퍼스점,대구광역시 북구 호암로 51,버거킹,대구광역시,북구,호암로 51
대구산격DT점,대구광역시 북구 검단로 29,버거킹,대구광역시,북구,검단로 29
대구칠곡3지구점,대구광역시 북구 팔거천동로 224,버거킹,대구광역시,북구,팔거천동로 224
대구평리DT점,대구광역시 서구 국채보상로 298,버거킹,대구광역시,서구,국채보상로 298
대구만촌점,대구광역시 수성구 달구벌대로 2622,버거킹,대구광역시,수성구,달구벌대로 2622
대구지산점,대구광역시 수성구 지범로 159,버거킹,대구광역시,수성구,지범로 159
대구시지점,대구광역시 수성구 신매로19길 46,버거킹,대구광역시,수성구,신매로19길 46
삼성라이온즈파크점,대구광역시 수성구 야구전설로 1,버거킹,대구광역시,수성구,야구전설로 1
경대병원역SK점,대구광역시 중구 달구벌대로 2194,버거킹,대구광역시,중구,달구벌대로 2194
대구중앙로점,대구광역시 중구 중앙대로 398,버거킹,대구광역시,중구,중앙대로 398
인천작전점,인천광역시 계양구 계양대로 37,버거킹,인천광역시,계양구,계양대로 37
인천계양구청점,인천광역시 계양구 장제로 804,버거킹,인천광역시,계양구,장제로 804
인천구월아시아드SK점,인천광역시 남동구 호구포로 725,버거킹,인천광역시,남동구,호구포로 725
인천만수역점,인천광역시 남동구 구월로 376,버거킹,인천광역시,남동구,구월로 376
인천논현점,인천광역시 남동구 논고개로 61,버거킹,인천광역시,남동구,논고개로 61
인천구월점,인천광역시 남동구 예술로 138,버거킹,인천광역시,남동구,예술로 138
인천서창SK점,인천광역시 남동구 서창동 728,버거킹,인천광역시,남동구,서창동 728
인하대역점,인천광역시 미추홀구 용현동 665-15,버거킹,인천광역시,미추홀구,용현동 665-15
인천주안점,인천광역시 미추홀구 주안로 86,버거킹,인천광역시,미추홀구,주안로 86
인천도화점,인천광역시 미추홀구 숙골로88번길 12,버거킹,인천광역시,미추홀구,숙골로88번길 12
삼산SK점,인천광역시 부평구 장제로 347,버거킹,인천광역시,부평구,장제로 347
부평시장역점,인천광역시 부평구 부평대로 90,버거킹,인천광역시,부평구,부평대로 90
인천청라점,인천광역시 서구 중봉대로 610,버거킹,인천광역시,서구,중봉대로 610
인천검단점,인천광역시 서구 검단로 470,버거킹,인천광역시,서구,검단로 470
인천완정역점,인천광역시 서구 원당대로 651,버거킹,인천광역시,서구,원당대로 651
인천연수점,인천광역시 연수구 용담로 111,버거킹,인천광역시,연수구,용담로 111
인천송도DT점,인천광역시 연수구 송도과학로 13,버거킹,인천광역시,연수구,송도과학로 13
송도현대아울렛점,인천광역시 연수구 송도국제대로 123,버거킹,인천광역시,연수구,송도국제대로 123
인천송도센트럴파크점,"인천광역시 연수구 센트럴로 194B동 1층 118호, 119호, 120호, 134호",버거킹,인천광역시,연수구,"센트럴로 194B동 1층 118호, 119호, 120호, 134호"
인천연수HP점,"인천광역시 연수구 청능대로 210, 지하1층(동춘동, 홈플러스연수점)",버거킹,인천광역시,연수구,"청능대로 210, 지하1층(동춘동, 홈플러스연수점)"
영종하늘도시DT점,인천광역시 중구 자연대로 55,버거킹,인천광역시,중구,자연대로 55
인천공항교통센터1점,인천광역시 중구 공항로 271,버거킹,인천광역시,중구,공항로 271
인천공항1점,인천광역시 중구 공항로 424번길 47,버거킹,인천광역시,중구,공항로 424번길 47
호남대점,광주광역시 광산구 어등대로 418-1,버거킹,광주광역시,광산구,어등대로 418-1
광주수완점,광주광역시 광산구 장신로 142,버거킹,광주광역시,광산구,장신로 142
광주수완DT점,광주광역시 광산구 임방울대로 499,버거킹,광주광역시,광산구,임방울대로 499
광주월계점,광주광역시 광산구 첨단중앙로 104,버거킹,광주광역시,광산구,첨단중앙로 104
광주하남점,광주광역시 광산구 풍영철길로 15,버거킹,광주광역시,광산구,풍영철길로 15
광주주월에스오일점,광주광역시 남구 회재로 1190,버거킹,광주광역시,남구,회재로 1190
광주봉선점,광주광역시 남구 봉선로 180,버거킹,광주광역시,남구,봉선로 180
광주효천2지구점,광주광역시 남구 효우2로 34,버거킹,광주광역시,남구,효우2로 34
광주충장점,광주광역시 동구 충장로 101-4버거킹 광주충장점,버거킹,광주광역시,동구,충장로 101-4버거킹 광주충장점
광주일곡점,광주광역시 북구 설죽로 495,버거킹,광주광역시,북구,설죽로 495
전남대후문점,광주광역시 북구 우치로 76,버거킹,광주광역시,북구,우치로 76
광주첨단2지구점,광주광역시 북구 첨단연신로91번길 10,버거킹,광주광역시,북구,첨단연신로91번길 10
광주매곡점,광주광역시 북구 서하로 82,버거킹,광주광역시,북구,서하로 82
광주상무점,광주광역시 서구 치평로 106,버거킹,광주광역시,서구,치평로 106
광주터미널점,광주광역시 서구 무진대로 904,버거킹,광주광역시,서구,무진대로 904
대전터미널DT점,대전광역시 동구 동서대로 1664,버거킹,대전광역시,동구,동서대로 1664
대전용문역점,대전광역시 서구 계룡로 630,버거킹,대전광역시,서구,계룡로 630
대전월평점,대전광역시 서구 월평북로 81,버거킹,대전광역시,서구,월평북로 81
대전도안점,대전광역시 서구 동서대로 682,버거킹,대전광역시,서구,동서대로 682
대전관저점,대전광역시 서구 구봉로 147번길 68-12,버거킹,대전광역시,서구,구봉로 147번길 68-12
대전시청점,대전광역시 서구 문예로 35,버거킹,대전광역시,서구,문예로 35
대전둔산1점,대전광역시 서구 대덕대로 193,버거킹,대전광역시,서구,대덕대로 193
대전반석DT점,대전광역시 유성구 북유성대로 288,버거킹,대전광역시,유성구,북유성대로 288
대전유성온천역점,대전광역시 유성구 대학로 8,버거킹,대전광역시,유성구,대학로 8
대전관평점,대전광역시 유성구 테크노4로 105,버거킹,대전광역시,유성구,테크노4로 105
대전노은역점,대전광역시 유성구 은구비남로33번길 61,버거킹,대전광역시,유성구,은구비남로33번길 61
대전현대아울렛점,"대전광역시 유성구 테크노중앙로 123,지상3층3202-2호",버거킹,대전광역시,유성구,"테크노중앙로 123,지상3층3202-2호"
대전용두DT점,대전광역시 중구 계룡로 853,버거킹,대전광역시,중구,계룡로 853
대전버드내마을오일뱅크점,대전광역시 중구 계백로 1520,버거킹,대전광역시,중구,계백로 1520
울산무거점,울산광역시 남구 대학로 157,버거킹,울산광역시,남구,대학로 157
삼산현대점,울산광역시 남구 삼산로 261,버거킹,울산광역시,남구,삼산로 261
울산신정FS점,울산광역시 남구 봉월로 97,버거킹,울산광역시,남구,봉월로 97
울산옥동점,울산광역시 남구 문수로 326,버거킹,울산광역시,남구,문수로 326
울산동구오일뱅크점,울산광역시 동구 방어진순환도로 1025,버거킹,울산광역시,동구,방어진순환도로 1025
울산북구청DT점,울산광역시 북구 안기번득길 23,버거킹,울산광역시,북구,안기번득길 23
울산호계DT점,울산광역시 북구 산업로 1426,버거킹,울산광역시,북구,산업로 1426
울산우정SK점,울산광역시 중구 북부순환도로 323,버거킹,울산광역시,중구,북부순환도로 323
울산성남점,울산광역시 중구 만남의거리 15,버거킹,울산광역시,중구,만남의거리 15
일산화정오일뱅크점,경기도 고양시 덕양구 화중로 38,버거킹,경기도,고양시,덕양구 화중로 38
스타필드고양점,경기도 고양시 덕양구 고양대로 1955,버거킹,경기도,고양시,덕양구 고양대로 1955
고양덕양FS점,경기도 고양시 덕양구 호국로 1821,버거킹,경기도,고양시,덕양구 호국로 1821
일산마두점,경기도 고양시 일산동구 장백로 194,버거킹,경기도,고양시,일산동구 장백로 194
고양터미널점,경기도 고양시 일산동구 중앙로 1036,버거킹,경기도,고양시,일산동구 중앙로 1036
일산호수공원,경기도 고양시 일산동구 중앙로1275번길 38-10,버거킹,경기도,고양시,일산동구 중앙로1275번길 38-10
일산산들SK점,경기도 고양시 일산서구 고양대로 717,버거킹,경기도,고양시,일산서구 고양대로 717
주엽역점,경기도 고양시 일산서구 중앙로 1443,버거킹,경기도,고양시,일산서구 중앙로 1443
고양덕이DT점,경기도 고양시 일산서구 경의로 850,버거킹,경기도,고양시,일산서구 경의로 850
과천중앙점,경기도 과천시 중앙로 129,버거킹,경기도,과천시,중앙로 129
광명소하DT점,경기도 광명시 오리로 361,버거킹,경기도,광명시,오리로 361
광주경안점,경기도 광주시 경안로 10,버거킹,경기도,광주시,경안로 10
경기광주태전점,경기도 광주시 태봉로 145-2,버거킹,경기도,광주시,태봉로 145-2
구리SK점,경기도 구리시 경춘로 196,버거킹,경기도,구리시,경춘로 196
구리갈매점,경기도 구리시 산마루로 24,버거킹,경기도,구리시,산마루로 24
산본점,경기도 군포시 산본로 382,버거킹,경기도,군포시,산본로 382
김포한강GS점,경기도 김포시 김포한강3로 400,버거킹,경기도,김포시,김포한강3로 400
김포현대아울렛,경기도 김포시 고촌읍 아라육로 152번길 100,버거킹,경기도,김포시,고촌읍 아라육로 152번길 100
김포구래점,경기도 김포시 구래동 6880-3,버거킹,경기도,김포시,구래동 6880-3
김포풍무역점,경기도 김포시 유현로 234,버거킹,경기도,김포시,유현로 234
남양주화도DT점,경기도 남양주시 화도읍 경춘로 1718,버거킹,경기도,남양주시,화도읍 경춘로 1718
남양주진접FS점,경기도 남양주시 진접읍 해밀예당1로 13,버거킹,경기도,남양주시,진접읍 해밀예당1로 13
남양주별내오일뱅크점,경기도 남양주시 송산로 149,버거킹,경기도,남양주시,송산로 149
남양주다산지금점,경기도 남양주시 다산지금로 132,버거킹,경기도,남양주시,다산지금로 132
동두천DT점,경기도 동두천시 평화로2261번길 2,버거킹,경기도,동두천시,평화로2261번길 2
부천원종점,경기도 부천시 오정구 소사로 713,버거킹,경기도,부천시,오정구 소사로 713
부천세이브존점,경기도 부천시 원미구 길주로 105,버거킹,경기도,부천시,원미구 길주로 105
부천중동점,경기도 부천시 신흥로 163,버거킹,경기도,부천시,신흥로 163
부천북부역점,경기도 부천시 부천로 25,버거킹,경기도,부천시,부천로 25
부천옥길점,경기도 부천시 옥길로 118,버거킹,경기도,부천시,옥길로 118
송내역점,경기도 부천시 부일로 203 상동스카이뷰자이상가 122~124호,버거킹,경기도,부천시,부일로 203 상동스카이뷰자이상가 122~124호
분당상록점,경기도 성남시 분당구 정자로 88,버거킹,경기도,성남시,분당구 정자로 88
판교유스페이스,경기도 성남시 분당구 대왕판교로 660,버거킹,경기도,성남시,분당구 대왕판교로 660
분당야탑점,경기도 성남시 분당구 성남대로916번길 11,버거킹,경기도,성남시,분당구 성남대로916번길 11
분당차병원점,경기도 성남시 분당구 야탑로 64,버거킹,경기도,성남시,분당구 야탑로 64
분당서현점,경기도 성남시 분당구 분당로53번길 19,버거킹,경기도,성남시,분당구 분당로53번길 19
분당수내점,경기도 성남시 분당구 내정로 167,버거킹,경기도,성남시,분당구 내정로 167
성남이마트점,경기도 성남시 수정구 수정로 201,버거킹,경기도,성남시,수정구 수정로 201
성남신흥점,경기도 성남시 수정구 산성대로 305,버거킹,경기도,성남시,수정구 산성대로 305
수원호매실SK점,경기도 수원시 권선구 호매실동 1374-1,버거킹,경기도,수원시,권선구 호매실동 1374-1
서수원이마트,경기도 수원시 권선구 수인로 291,버거킹,경기도,수원시,권선구 수인로 291
수원영통점,경기도 수원시 영통구 봉영로 1623,버거킹,경기도,수원시,영통구 봉영로 1623
광교아브뉴프랑점,경기도 수원시 영통구 센트럴타운로 85,버거킹,경기도,수원시,영통구 센트럴타운로 85
수원망포점,경기도 수원시 영통구 영통로 108,버거킹,경기도,수원시,영통구 영통로 108
아주대병원점,경기도 수원시 영통구 월드컵로 164,버거킹,경기도,수원시,영통구 월드컵로 164
수원매탄점,경기도 수원시 영통구 효원로 400,버거킹,경기도,수원시,영통구 효원로 400
송죽DT점,경기도 수원시 장안구 경수대로 992,버거킹,경기도,수원시,장안구 경수대로 992
수원정자점,경기도 수원시 장안구 이목로 24-3,버거킹,경기도,수원시,장안구 이목로 24-3
