지점명,주소,브랜드,주소1,주소2,주소3
영통씨네마,경기도 수원시 영통구 청명남로 40 (영통동) 영통시네마 1층,KFC,경기도,수원시,영통구 청명남로 40 (영통동) 영통시네마 1층
수원역광장,경기도 수원시 팔달구 향교로 5 (매산로1가) 2층,KFC,경기도,수원시,팔달구 향교로 5 (매산로1가) 2층
아주대,경기도 수원시 팔달구 아주로 37 (우만동) 아록빌딩 1층,KFC,경기도,수원시,팔달구 아주로 37 (우만동) 아록빌딩 1층
수원인계DT,경기도 수원시 팔달구 인계로 98 (인계동),KFC,경기도,수원시,팔달구 인계로 98 (인계동)
수원역사1,경기도 수원시 팔달구 덕영대로 924 (매산로1가) AK프라자 3층,KFC,경기도,수원시,팔달구 덕영대로 924 (매산로1가) AK프라자 3층
안산중앙,경기도 안산시 단원구 고잔1길 16 (고잔동),KFC,경기도,안산시,단원구 고잔1길 16 (고잔동)
안성중앙로,경기도 안성시 중앙로 395 (대천동),KFC,경기도,안성시,중앙로 395 (대천동)
안양호계,경기도 안양시 동안구 평촌대로 135 (호계동),KFC,경기도,안양시,동안구 평촌대로 135 (호계동)
관양1,경기도 안양시 동안구 관악대로 302 (관양동),KFC,경기도,안양시,동안구 관악대로 302 (관양동)
안양일번가,경기도 안양시 만안구 장내로149번길 51 (안양동),KFC,경기도,안양시,만안구 장내로149번길 51 (안양동)
양주고읍,경기도 양주시 고읍남로 24 (광사동) 레드플라자 1층 106호,KFC,경기도,양주시,고읍남로 24 (광사동) 레드플라자 1층 106호
오산DT,경기도 오산시 경기대로 136 (원동),KFC,경기도,오산시,경기대로 136 (원동)
용인보정,경기도 용인시 기흥구 죽전로 52 (보정동),KFC,경기도,용인시,기흥구 죽전로 52 (보정동)
용인수지,경기도 용인시 수지구 풍덕천로 118 (풍덕천동) 초석프라자 1F,KFC,경기도,용인시,수지구 풍덕천로 118 (풍덕천동) 초석프라자 1F
용인상현,경기도 용인시 수지구 만현로 102 (상현동),KFC,경기도,용인시,수지구 만현로 102 (상현동)
용인에버랜드,경기도 용인시 처인구 포곡읍 에버랜드로 199 에버랜드리조트 內 버거카페 스타라이트,KFC,경기도,용인시,처인구 포곡읍 에버랜드로 199 에버랜드리조트 內 버거카페 스타라이트
의정부엔터,경기도 의정부시 시민로 80 (의정부동) 센트럴타워빌딩 1층(의정부동),KFC,경기도,의정부시,시민로 80 (의정부동) 센트럴타워빌딩 1층(의정부동)
의정부HP,경기도 의정부시 청사로 38 (금오동) 홈플러스,KFC,경기도,의정부시,청사로 38 (금오동) 홈플러스
이천터미널,경기도 이천시 중리천로 84 (중리동),KFC,경기도,이천시,중리천로 84 (중리동)
파주문산,경기도 파주시 문산읍 문향로 71,KFC,경기도,파주시,문산읍 문향로 71
파주운정DI,경기도 파주시 와석순환로 286 (목동동),KFC,경기도,파주시,와석순환로 286 (목동동)
야당역,경기도 파주시 경의로 1074 (야당동),KFC,경기도,파주시,경의로 1074 (야당동)
평택,경기도 평택시 평택1로 13 (평택동),KFC,경기도,평택시,평택1로 13 (평택동)
미사역,경기도 하남시 미사강변동로 95 (망월동),KFC,경기도,하남시,미사강변동로 95 (망월동)
하남시청,경기도 하남시 대청로 26 (신장동),KFC,경기도,하남시,대청로 26 (신장동)
동탄,경기도 화성시 동탄지성로 11 (반송동),KFC,경기도,화성시,동탄지성로 11 (반송동)
김해내동,경상남도 김해시 내외중앙로 89 (내동),KFC,경상남도,김해시,내외중앙로 89 (내동)
양산물금,경상남도 양산시 물금읍 범어로 72 1층,KFC,경상남도,양산시,물금읍 범어로 72 1층
창원상남동,경상남도 창원시 성산구 원이대로 658 (상남동) 상남프라자1층 (상남동),KFC,경상남도,창원시,성산구 원이대로 658 (상남동) 상남프라자1층 (상남동)
창원더시티세븐,경상남도 창원시 의창구 원이대로 320 (대원동) 시티세븐몰 1층 101호,KFC,경상남도,창원시,의창구 원이대로 320 (대원동) 시티세븐몰 1층 101호
영남대,경상북도 경산시 대학로 292 (대동) 영남대학교 국제교류센터 102호,KFC,경상북도,경산시,대학로 292 (대동) 영남대학교 국제교류센터 102호
구미옥계,경상북도 구미시 산호대로29길 20-7 (옥계동),KFC,경상북도,구미시,산호대로29길 20-7 (옥계동)
포항터미널,경상북도 포항시 남구 중흥로 99 (상도동),KFC,경상북도,포항시,남구 중흥로 99 (상도동)
포항양덕DT,경상북도 포항시 북구 새천년대로 1365 (장성동) KFC포항양덕DT,KFC,경상북도,포항시,북구 새천년대로 1365 (장성동) KFC포항양덕DT
광주수완,광주광역시 광산구 장신로 136 (수완동),KFC,광주광역시,광산구,장신로 136 (수완동)
광주용봉DT,광주광역시 북구 설죽로 270 (용봉동),KFC,광주광역시,북구,설죽로 270 (용봉동)
광주터미널,광주광역시 서구 무진대로 904 (광천동) 광주터미널내,KFC,광주광역시,서구,무진대로 904 (광천동) 광주터미널내
대구용산DT,대구광역시 달서구 달구벌대로 1393 (용산동),KFC,대구광역시,달서구,달구벌대로 1393 (용산동)
상인네거리,대구광역시 달서구 월배로 227 (상인동),KFC,대구광역시,달서구,월배로 227 (상인동)
대구성서,대구광역시 달서구 이곡공원로 24 (이곡동),KFC,대구광역시,달서구,이곡공원로 24 (이곡동)
칠곡3지구,대구광역시 북구 학정로 439 (동천동),KFC,대구광역시,북구,학정로 439 (동천동)
침산네거리,대구광역시 북구 침산로 144 (침산동),KFC,대구광역시,북구,침산로 144 (침산동)
내당동,대구광역시 서구 달구벌대로 1689 (내당동),KFC,대구광역시,서구,달구벌대로 1689 (내당동)
범어네거리,대구광역시 수성구 동대구로 311 (범어동) 범어애플타워 1층,KFC,대구광역시,수성구,동대구로 311 (범어동) 범어애플타워 1층
대구시지,대구광역시 수성구 달구벌대로 3197 (매호동),KFC,대구광역시,수성구,달구벌대로 3197 (매호동)
황금동,대구광역시 수성구 동대구로 155 (황금동),KFC,대구광역시,수성구,동대구로 155 (황금동)
대구문화동,대구광역시 중구 국채보상로 608 (문화동),KFC,대구광역시,중구,국채보상로 608 (문화동)
대전타임월드,대전광역시 서구 둔산로 18 (둔산동),KFC,대전광역시,서구,둔산로 18 (둔산동)
대전시청역,대전광역시 서구 둔산로 121 (둔산동) 1층,KFC,대전광역시,서구,둔산로 121 (둔산동) 1층
유성온천,대전광역시 유성구 대학로 3 (봉명동),KFC,대전광역시,유성구,대학로 3 (봉명동)
노은역,대전광역시 유성구 은구비남로33번길 46 (지족동) 1층,KFC,대전광역시,유성구,은구비남로33번길 46 (지족동) 1층
은행동1,대전광역시 중구 대종로488번길 54 (은행동),KFC,대전광역시,중구,대종로488번길 54 (은행동)
부산구서DT,부산광역시 금정구 중앙대로 1824 (구서동),KFC,부산광역시,금정구,중앙대로 1824 (구서동)
경성대부경대,부산광역시 남구 수영로 324 (대연동) 리마크빌대연 주상복합 1층,KFC,부산광역시,남구,수영로 324 (대연동) 리마크빌대연 주상복합 1층
부산지오21,부산광역시 부산진구 동천로 4 (전포동) 지오플레이스1층,KFC,부산광역시,부산진구,동천로 4 (전포동) 지오플레이스1층
부산서면,부산광역시 부산진구 중앙대로 681-1 (부전동),KFC,부산광역시,부산진구,중앙대로 681-1 (부전동)
덕천역,부산광역시 북구 만덕대로16번길 19 (덕천동),KFC,부산광역시,북구,만덕대로16번길 19 (덕천동)
사상역,부산광역시 사상구 사상로 200 (괘법동),KFC,부산광역시,사상구,사상로 200 (괘법동)
하단역,부산광역시 사하구 낙동남로 1403 (하단동) 1층,KFC,부산광역시,사하구,낙동남로 1403 (하단동) 1층
연제이마트,부산광역시 연제구 연수로 89 (연산동) 연제이마트 1층 푸드코트,KFC,부산광역시,연제구,연수로 89 (연산동) 연제이마트 1층 푸드코트
부산장산역,부산광역시 해운대구 세실로 86 (좌동),KFC,부산광역시,해운대구,세실로 86 (좌동)
강남역,서울특별시 서초구 서초대로77길 15 (서초동) 6,KFC,서울특별시,서초구,서초대로77길 15 (서초동) 6
대치동,서울특별시 강남구 도곡로 517 (대치동) 서연빌딩 1층,KFC,서울특별시,강남구,도곡로 517 (대치동) 서연빌딩 1층
학동역,서울특별시 강남구 학동로 218 (논현동),KFC,서울특별시,강남구,학동로 218 (논현동)
코엑스MALL,서울특별시 강남구 영동대로 513 (삼성동) B1층 H102호,KFC,서울특별시,강남구,영동대로 513 (삼성동) B1층 H102호
일원동,서울특별시 강남구 일원로 28 (일원동),KFC,서울특별시,강남구,일원로 28 (일원동)
역삼역,서울특별시 강남구 논현로 509 (역삼동) 지상1층2층,KFC,서울특별시,강남구,논현로 509 (역삼동) 지상1층2층
압구정1,서울특별시 강남구 논현로175길 7 (신사동),KFC,서울특별시,강남구,논현로175길 7 (신사동)
강남구청역 (구: 삼성동),서울특별시 강남구 학동로 402 (삼성동) 천마빌딩 103호,KFC,서울특별시,강남구,학동로 402 (삼성동) 천마빌딩 103호
천호역,서울특별시 강동구 천호옛길 88 (성내동) G-lite빌딩 1층,KFC,서울특별시,강동구,천호옛길 88 (성내동) G-lite빌딩 1층
둔촌동,서울특별시 강동구 양재대로 1390 (둔촌동),KFC,서울특별시,강동구,양재대로 1390 (둔촌동)
미아역,서울특별시 강북구 도봉로 184 (미아동),KFC,서울특별시,강북구,도봉로 184 (미아동)
발산역,서울특별시 강서구 공항대로 271 (마곡동) 마곡동 723-2,KFC,서울특별시,강서구,공항대로 271 (마곡동) 마곡동 723-2
화곡역,서울특별시 강서구 강서로 162 (화곡동),KFC,서울특별시,강서구,강서로 162 (화곡동)
우장산역,"서울특별시 강서구 강서로 242 (화곡동, 강서힐스테이트) 강서 힐스테이트 상가 18~22호",KFC,서울특별시,강서구,"강서로 242 (화곡동, 강서힐스테이트) 강서 힐스테이트 상가 18~22호"
염창동,서울특별시 강서구 양천로 583 (염창동) 우림블루나인비즈니스센터1층,KFC,서울특별시,강서구,양천로 583 (염창동) 우림블루나인비즈니스센터1층
목동사거리,서울특별시 강서구 등촌로 19 (화곡동),KFC,서울특별시,강서구,등촌로 19 (화곡동)
신림역,"서울특별시 관악구 신림로 318 (신림동, 청암두산위브센티움)",KFC,서울특별시,관악구,"신림로 318 (신림동, 청암두산위브센티움)"
낙성대,서울특별시 관악구 남부순환로 1909 (봉천동),KFC,서울특별시,관악구,남부순환로 1909 (봉천동)
서울대입구역,서울특별시 관악구 남부순환로 1810 (봉천동),KFC,서울특별시,관악구,남부순환로 1810 (봉천동)
봉천역,서울특별시 관악구 남부순환로 1735 (봉천동),KFC,서울특별시,관악구,남부순환로 1735 (봉천동)
세종대,서울특별시 광진구 광나루로 396 (화양동),KFC,서울특별시,광진구,광나루로 396 (화양동)
광장동,서울특별시 광진구 광나루로 604 (구의동) 진넥스베르디엠 101호,KFC,서울특별시,광진구,광나루로 604 (구의동) 진넥스베르디엠 101호
구로디지털2,서울특별시 구로구 디지털로 300 (구로동) 1층,KFC,서울특별시,구로구,디지털로 300 (구로동) 1층
독산동,서울특별시 금천구 독산로 195 (독산동),KFC,서울특별시,금천구,독산로 195 (독산동)
가산디지털,서울특별시 금천구 가산디지털1로 186 (가산동) 제이플라츠빌딩 지상 1층 110-1호,KFC,서울특별시,금천구,가산디지털1로 186 (가산동) 제이플라츠빌딩 지상 1층 110-1호
노원역,서울특별시 노원구 동일로 1401 (상계동),KFC,서울특별시,노원구,동일로 1401 (상계동)
중계은행사거리,서울특별시 노원구 한글비석로 227 (중계동),KFC,서울특별시,노원구,한글비석로 227 (중계동)
월계이마트,서울특별시 노원구 마들로3길 15 (월계동) 월계이마트2층 (월계동),KFC,서울특별시,노원구,마들로3길 15 (월계동) 월계이마트2층 (월계동)
우이동,서울특별시 도봉구 삼양로 544 (쌍문동),KFC,서울특별시,도봉구,삼양로 544 (쌍문동)
한국외대,서울특별시 동대문구 이문로 114 (이문동),KFC,서울특별시,동대문구,이문로 114 (이문동)
청량리역사,서울특별시 동대문구 왕산로 214 (전농동) 청량리역사3층303호 (전농동),KFC,서울특별시,동대문구,왕산로 214 (전농동) 청량리역사3층303호 (전농동)
중앙대,서울특별시 동작구 흑석로 94 (흑석동),KFC,서울특별시,동작구,흑석로 94 (흑석동)
노량진역,서울특별시 동작구 노량진로 151 (노량진동) 맞이방 광장1층,KFC,서울특별시,동작구,노량진로 151 (노량진동) 맞이방 광장1층
보라매,"서울특별시 동작구 보라매로5가길 7 (신대방동, 캐릭터그린빌) 103동 1호",KFC,서울특별시,동작구,"보라매로5가길 7 (신대방동, 캐릭터그린빌) 103동 1호"
상암DMC,서울특별시 마포구 월드컵북로 396 (상암동) 1층,KFC,서울특별시,마포구,월드컵북로 396 (상암동) 1층
홍익대,서울특별시 마포구 양화로 156 (동교동) LG팰리스빌딩,KFC,서울특별시,마포구,양화로 156 (동교동) LG팰리스빌딩
명지대,서울특별시 서대문구 거북골로 53 (남가좌동),KFC,서울특별시,서대문구,거북골로 53 (남가좌동)
신촌역,서울특별시 서대문구 신촌로 79 (창천동),KFC,서울특별시,서대문구,신촌로 79 (창천동)
사당역,"서울특별시 서초구 방배천로 11 (방배동, SK리더스뷰)",KFC,서울특별시,서초구,"방배천로 11 (방배동, SK리더스뷰)"
이수역,서울특별시 서초구 동작대로 114 (방배동) (재)원불교 유문빌딩 1층,KFC,서울특별시,서초구,동작대로 114 (방배동) (재)원불교 유문빌딩 1층
양재동,서울특별시 서초구 남부순환로350길 4 (양재동),KFC,서울특별시,서초구,남부순환로350길 4 (양재동)
서초우성,서울특별시 서초구 사임당로 171 (서초동) EWR빌딩 1층,KFC,서울특별시,서초구,사임당로 171 (서초동) EWR빌딩 1층
서초동,서울특별시 서초구 효령로 283 (서초동),KFC,서울특별시,서초구,효령로 283 (서초동)
방배역,서울특별시 서초구 방배로 82 (방배동) 유경빌딩1층,KFC,서울특별시,서초구,방배로 82 (방배동) 유경빌딩1층
교대역,서울특별시 서초구 서초중앙로 138 (서초동),KFC,서울특별시,서초구,서초중앙로 138 (서초동)
강남고속터미널,서울특별시 서초구 신반포로 189 (잠원동) 반포쇼핑타운 4동 1층,KFC,서울특별시,서초구,신반포로 189 (잠원동) 반포쇼핑타운 4동 1층
왕십리역사,서울특별시 성동구 왕십리광장로 17 (행당동) 왕십리민자역사 지상1층 C-02호,KFC,서울특별시,성동구,왕십리광장로 17 (행당동) 왕십리민자역사 지상1층 C-02호
고대안암,서울특별시 성북구 개운사길 5 (안암동5가),KFC,서울특별시,성북구,개운사길 5 (안암동5가)
돈암동1,서울특별시 성북구 동소문로20나길 18 (동선동1가),KFC,서울특별시,성북구,동소문로20나길 18 (동선동1가)
롯데월드,서울특별시 송파구 올림픽로 240 (잠실동) 롯데월드 매직아일랜드,KFC,서울특별시,송파구,올림픽로 240 (잠실동) 롯데월드 매직아일랜드
잠실야구장,서울특별시 송파구 올림픽로 25 (잠실동) 종합운동장 잠실야구장 내,KFC,서울특별시,송파구,올림픽로 25 (잠실동) 종합운동장 잠실야구장 내
잠실,서울특별시 송파구 백제고분로 159 (잠실동),KFC,서울특별시,송파구,백제고분로 159 (잠실동)
석촌역,서울특별시 송파구 백제고분로 364 (석촌동) 대준빌딩 1 층,KFC,서울특별시,송파구,백제고분로 364 (석촌동) 대준빌딩 1 층
개롱역,서울특별시 송파구 오금로 404 (가락동),KFC,서울특별시,송파구,오금로 404 (가락동)
당산역,서울특별시 영등포구 양평로 46 (당산동6가),KFC,서울특별시,영등포구,양평로 46 (당산동6가)
용산아이파크몰,서울특별시 용산구 한강대로23길 55 (한강로3가) 아이파크몰 6층,KFC,서울특별시,용산구,한강대로23길 55 (한강로3가) 아이파크몰 6층
영등포역,서울특별시 영등포구 경인로 846 (영등포동) 영등포역사3층,KFC,서울특별시,영등포구,경인로 846 (영등포동) 영등포역사3층
여의도,서울특별시 영등포구 국회대로70길 15-1 (여의도동) 극동VIP빌딩 1층,KFC,서울특별시,영등포구,국회대로70길 15-1 (여의도동) 극동VIP빌딩 1층
동여의도,서울특별시 영등포구 의사당대로1길 25 (여의도동),KFC,서울특별시,영등포구,의사당대로1길 25 (여의도동)
한남순천향,서울특별시 용산구 대사관로 62 (한남동),KFC,서울특별시,용산구,대사관로 62 (한남동)
숙대입구역,서울특별시 용산구 한강대로 284 (남영동),KFC,서울특별시,용산구,한강대로 284 (남영동)
응암,서울특별시 은평구 은평로 127 (응암동),KFC,서울특별시,은평구,은평로 127 (응암동)
연신내역,서울특별시 은평구 연서로 226-1 (대조동),KFC,서울특별시,은평구,연서로 226-1 (대조동)
불광역,서울특별시 은평구 통일로 750 (불광동),KFC,서울특별시,은평구,통일로 750 (불광동)
청계천,서울특별시 종로구 청계천로 35 (서린동) 관정빌딩 1층,KFC,서울특별시,종로구,청계천로 35 (서린동) 관정빌딩 1층
종로,서울특별시 종로구 종로 88 (종로2가),KFC,서울특별시,종로구,종로 88 (종로2가)
동대문,서울특별시 종로구 종로 294 (창신동),KFC,서울특별시,종로구,종로 294 (창신동)
대학로,서울특별시 종로구 대학로 120 (동숭동),KFC,서울특별시,종로구,대학로 120 (동숭동)
광화문,서울특별시 종로구 세종대로23길 7 (세종로),KFC,서울특별시,종로구,세종대로23길 7 (세종로)
충무로역,서울특별시 중구 퇴계로 213 (충무로4가),KFC,서울특별시,중구,퇴계로 213 (충무로4가)
먹골역,"서울특별시 중랑구 공릉로 8 (묵동, 대길빌딩)",KFC,서울특별시,중랑구,"공릉로 8 (묵동, 대길빌딩)"
사가정,서울특별시 중랑구 사가정로 389 (면목동) 1층,KFC,서울특별시,중랑구,사가정로 389 (면목동) 1층
망우동,서울특별시 중랑구 망우로 410 (망우동),KFC,서울특별시,중랑구,망우로 410 (망우동)
세종이마트,세종특별자치시 금송로 687 (가람동),KFC,세종특별자치시,금송로,687 (가람동)
울산현대,울산광역시 남구 삼산중로 71 (달동),KFC,울산광역시,남구,삼산중로 71 (달동)
울산명덕,울산광역시 동구 방어진순환도로 909 (서부동),KFC,울산광역시,동구,방어진순환도로 909 (서부동)
계산동,인천광역시 계양구 계양대로 214 (계산동) 에이스타운 1층,KFC,인천광역시,계양구,계양대로 214 (계산동) 에이스타운 1층
인하대,인천광역시 미추홀구 인하로77번길 8 (용현동) 1층,KFC,인천광역시,미추홀구,인하로77번길 8 (용현동) 1층
인천논현,인천광역시 남동구 논고개로 61 (논현동),KFC,인천광역시,남동구,논고개로 61 (논현동)
인천구월,"인천광역시 남동구 남동대로 784 (구월동) 1,2층",KFC,인천광역시,남동구,"남동대로 784 (구월동) 1,2층"
간석HP,인천광역시 남동구 경원대로 971 (간석동) 홈플러스 2층,KFC,인천광역시,남동구,경원대로 971 (간석동) 홈플러스 2층
부평역,인천광역시 부평구 광장로 16 (부평동) 지하,KFC,인천광역시,부평구,광장로 16 (부평동) 지하
검단역,인천광역시 서구 완정로 172 (마전동),KFC,인천광역시,서구,완정로 172 (마전동)
인천청라,인천광역시 서구 중봉대로586번길 19 (연희동),KFC,인천광역시,서구,중봉대로586번길 19 (연희동)
인천스퀘어원,인천광역시 연수구 청능대로 210 (동춘동) SQUARE 1 외부광장동 1층,KFC,인천광역시,연수구,청능대로 210 (동춘동) SQUARE 1 외부광장동 1층
인천공항교통센터,인천광역시 중구 공항로 271 (운서동) 지하 1F T2-02,KFC,인천광역시,중구,공항로 271 (운서동) 지하 1F T2-02
동인천이마트,인천광역시 중구 인중로 134 (신생동)  동인천이마트 1층 푸드코트 內,KFC,인천광역시,중구,인중로 134 (신생동)  동인천이마트 1층 푸드코트 內
목포이마트,전라남도 목포시 옥암로 138 (옥암동) 목포이마트 1층 푸드코트 內,KFC,전라남도,목포시,옥암로 138 (옥암동) 목포이마트 1층 푸드코트 內
순천연향동,전라남도 순천시 연향중앙상가길 9 (연향동),KFC,전라남도,순천시,연향중앙상가길 9 (연향동)
전주영화,전라북도 전주시 완산구 전주객사4길 24-14 (고사동),KFC,전라북도,전주시,완산구 전주객사4길 24-14 (고사동)
전북도청,전라북도 전주시 완산구 효자로 194 (효자동3가) 로자벨시티 106호,KFC,전라북도,전주시,완산구 효자로 194 (효자동3가) 로자벨시티 106호
서귀포중문DT,제주특별자치도 서귀포시 중문관광로 90 (색달동),KFC,제주특별자치도,서귀포시,중문관광로 90 (색달동)
당진,충청남도 당진시 당진중앙2로 101 (읍내동) 1층,KFC,충청남도,당진시,당진중앙2로 101 (읍내동) 1층
아산터미널,충청남도 아산시 번영로 223 (모종동) 아산고속터미널 1층 102~104호,KFC,충청남도,아산시,번영로 223 (모종동) 아산고속터미널 1층 102~104호
천안터미널,충청남도 천안시 동남구 만남로 43 (신부동) 터미널(승차장) 내,KFC,충청남도,천안시,동남구 만남로 43 (신부동) 터미널(승차장) 내
천안쌍용,충청남도 천안시 서북구 충무로 205 (쌍용동),KFC,충청남도,천안시,서북구 충무로 205 (쌍용동)
천안불당,"충청남도 천안시 서북구 불당26로 50 (불당동, 천안불당지웰시티푸르지오2단지) F107-1,2호",KFC,충청남도,천안시,"서북구 불당26로 50 (불당동, 천안불당지웰시티푸르지오2단지) F107-1,2호"
청주메가폴리스,충청북도 청주시 흥덕구 풍산로 15 (가경동) 메가폴리스 1층,KFC,충청북도,청주시,흥덕구 풍산로 15 (가경동) 메가폴리스 1층
청주수곡DT,충청북도 청주시 서원구 수영로7번길 7 (수곡동),KFC,충청북도,청주시,서원구 수영로7번길 7 (수곡동)
고양 삼송 DT,경기도 고양시 덕양구 고양대로 1948,맥도날드,경기도,고양시,덕양구 고양대로 1948
서울시청,서울특별시 중구 남대문로9길 51 효덕빌딩,맥도날드,서울특별시,중구,남대문로9길 51 효덕빌딩
한신,서울특별시 노원구 한글비석로 57 (하계동),맥도날드,서울특별시,노원구,한글비석로 57 (하계동)
영천DT,경상북도 영천시 호국로 141,맥도날드,경상북도,영천시,호국로 141
대구동호DT,대구광역시 동구 안심로 403,맥도날드,대구광역시,동구,안심로 403
진주혁신GSDT,경상남도 진주시 동진로 581,맥도날드,경상남도,진주시,동진로 581
용인보라DT,경기도 용인시 기흥구 용구대로 1861,맥도날드,경기도,용인시,기흥구 용구대로 1861
진해용원DT,경상남도 창원시 진해구 용원로7번길 10,맥도날드,경상남도,창원시,진해구 용원로7번길 10
광양DT,전라남도 광양시 동광길 5,맥도날드,전라남도,광양시,동광길 5
제주중문DT,제주특별자치도 서귀포시 중문관광로 38,맥도날드,제주특별자치도,서귀포시,중문관광로 38
충남홍성DT,충청남도 홍성군 홍성읍 충서로 1528,맥도날드,충청남도,홍성군,홍성읍 충서로 1528
인천계산DT,인천광역시 계양구 오조산로 39,맥도날드,인천광역시,계양구,오조산로 39
부산초량 DT,부산광역시 동구 중앙대로 228,맥도날드,부산광역시,동구,중앙대로 228
진주가좌DT,경상남도 진주시 진주대로 612,맥도날드,경상남도,진주시,진주대로 612
위례신도시,서울특별시 송파구 위례광장로 290번지 위례중앙푸르지오 2단지,맥도날드,서울특별시,송파구,위례광장로 290번지 위례중앙푸르지오 2단지
부산하단DT,부산광역시 사하구 낙동대로 431,맥도날드,부산광역시,사하구,낙동대로 431
충남논산DT,충청남도 논산시 시민로 247,맥도날드,충청남도,논산시,시민로 247
망원점,서울특별시 마포구 월드컵로 81 (망원동),맥도날드,서울특별시,마포구,월드컵로 81 (망원동)
평택소사벌점,경기도 평택시 평남로 862,맥도날드,경기도,평택시,평남로 862
부산명지DT점,부산광역시 강서구 명지국제8로 270,맥도날드,부산광역시,강서구,명지국제8로 270
경주용강 DT,경상북도 경주시 산업로 4364,맥도날드,경상북도,경주시,산업로 4364
목포남악DT점,전라남도 무안군 삼향읍 남악3로 58,맥도날드,전라남도,무안군,삼향읍 남악3로 58
고양원당DT점,경기도 고양시 덕양구 호국로 777,맥도날드,경기도,고양시,덕양구 호국로 777
동묘,서울특별시 종로구 종로 339,맥도날드,서울특별시,종로구,종로 339
부산 남천DT점,부산광역시 수영구 수영로 470,맥도날드,부산광역시,수영구,수영로 470
안산고잔 DT,경기도 안산시 단원구 광덕3로 145-3,맥도날드,경기도,안산시,단원구 광덕3로 145-3
전북정읍DT,전라북도 정읍시 남북로 51,맥도날드,전라북도,정읍시,남북로 51
구리인창 DT,경기도 구리시 동구릉로 130,맥도날드,경기도,구리시,동구릉로 130
강남삼성DT,서울특별시 강남구 봉은사로 432,맥도날드,서울특별시,강남구,봉은사로 432
부산정관DT점,부산광역시 기장군 정관읍 정관로 584,맥도날드,부산광역시,기장군,정관읍 정관로 584
홍제역,서울특별시 서대문구 통일로 442-1,맥도날드,서울특별시,서대문구,통일로 442-1
서울 상암 DMC,서울특별시 마포구 월드컵북로 400 1층 맥도날드,맥도날드,서울특별시,마포구,월드컵북로 400 1층 맥도날드
서판교 DT,경기도 성남시 분당구 운중로 190,맥도날드,경기도,성남시,분당구 운중로 190
춘천후평DT,강원도 춘천시 후석로 334,맥도날드,강원도,춘천시,후석로 334
화성향남DT,경기도 화성시 향남읍 행정남로 120,맥도날드,경기도,화성시,향남읍 행정남로 120
충남보령DT,충청남도 보령시 터미널길 3,맥도날드,충청남도,보령시,터미널길 3
구미옥계DT점,경상북도 구미시 옥계2공단로 390,맥도날드,경상북도,구미시,옥계2공단로 390
부산엄궁 DT,부산광역시 사상구 낙동대로 745,맥도날드,부산광역시,사상구,낙동대로 745
김해장유 DT,경상남도 김해시 삼문로 34,맥도날드,경상남도,김해시,삼문로 34
동해DT,강원도 동해시 한섬로 93,맥도날드,강원도,동해시,한섬로 93
밀양 DT,경상남도 밀양시 밀양대로 1872,맥도날드,경상남도,밀양시,밀양대로 1872
코엑스,서울특별시 강남구 영동대로 513 B1 A102 맥도날드,맥도날드,서울특별시,강남구,영동대로 513 B1 A102 맥도날드
보라매,서울특별시 영등포구 여의대방로 145 세인트빌딩,맥도날드,서울특별시,영등포구,여의대방로 145 세인트빌딩
판교테크노밸리,경기도 성남시 분당구 판교역로 231 H스퀘어 S동 1층,맥도날드,경기도,성남시,분당구 판교역로 231 H스퀘어 S동 1층
광명DT,경기도 광명시 광명로 765,맥도날드,경기도,광명시,광명로 765
서면 3,부산광역시 부산진구 중앙대로692번길 33,맥도날드,부산광역시,부산진구,중앙대로692번길 33
대구교대DT,대구광역시 남구 중앙대로 225,맥도날드,대구광역시,남구,중앙대로 225
고척DT,서울특별시 구로구 경인로 393,맥도날드,서울특별시,구로구,경인로 393
군포당동SK DT,경기도 군포시 고산로 259,맥도날드,경기도,군포시,고산로 259
부산다대DT점,부산광역시 사하구 다대로 532-1,맥도날드,부산광역시,사하구,다대로 532-1
서울둔촌DT,서울특별시 강동구 양재대로 1382,맥도날드,서울특별시,강동구,양재대로 1382
광주진월DT,광주광역시 남구 서문대로 697,맥도날드,광주광역시,남구,서문대로 697
굽은다리역DT,서울특별시 강동구 양재대로 1587,맥도날드,서울특별시,강동구,양재대로 1587
부산범전DT,부산광역시 부산진구 중앙대로 823,맥도날드,부산광역시,부산진구,중앙대로 823
고양풍동DT,경기도 고양시 일산동구 백마로 493,맥도날드,경기도,고양시,일산동구 백마로 493
서산DT,충청남도 서산시 충의로 3,맥도날드,충청남도,서산시,충의로 3
부천역곡역DT,경기도 부천시 경인로 487,맥도날드,경기도,부천시,경인로 487
대구 다사DT,대구광역시 달성군 다사읍 달구벌대로 825,맥도날드,대구광역시,달성군,다사읍 달구벌대로 825
충남아산DT,충청남도 아산시 충무로 37,맥도날드,충청남도,아산시,충무로 37
우장산DT,서울특별시 강서구 화곡동 1026,맥도날드,서울특별시,강서구,화곡동 1026
제천DT점,충청북도 제천시 의림대로 202,맥도날드,충청북도,제천시,의림대로 202
미아DT,서울특별시 강북구 삼양로 158,맥도날드,서울특별시,강북구,삼양로 158
대구복현DT점,대구광역시 북구 동북로 303,맥도날드,대구광역시,북구,동북로 303
부천원종DT,경기도 부천시 소사로 689,맥도날드,경기도,부천시,소사로 689
부천심곡DT,경기도 부천시 경인로 170,맥도날드,경기도,부천시,경인로 170
