버거킹,KFC,맥도날드,롯데리아,BKM,버거지수,주소,주소1,주소2,인구수,면적,인구밀도
1.0,0.0,5.0,10.0,6.0,0.6,제주특별자치도 제주시,제주특별자치도,제주시,489405,978.668959,500.072057562827
1.0,1.0,1.0,5.0,3.0,0.6,충청남도 당진시,충청남도,당진시,167042,705.424109,236.7965566654598
1.0,0.0,1.0,3.0,2.0,0.6666666666666666,충청남도 보령시,충청남도,보령시,101114,586.558277,172.38525814886762
1.0,0.0,1.0,7.0,2.0,0.2857142857142857,충청남도 서산시,충청남도,서산시,174690,742.026668,235.4228055857421
5.0,3.0,4.0,22.0,12.0,0.5454545454545454,충청남도 천안시,충청남도,천안시,652258,636.082715,1025.4295308118851
1.0,0.0,1.0,3.0,2.0,0.6666666666666666,충청남도 홍성군,충청남도,홍성군,100423,446.698483,224.81159847592318
1.0,0.0,0.0,5.0,1.0,0.2,충청북도 음성군,충청북도,음성군,94982,520.182166,182.5937262139817
1.0,0.0,0.0,2.0,1.0,0.5,충청북도 진천군,충청북도,진천군,81084,407.303348,199.07521113722834
7.0,2.0,6.0,27.0,15.0,0.5555555555555556,충청북도 청주시,충청북도,청주시,839566,940.844524,892.3536020920711
1.0,0.0,1.0,8.0,2.0,0.25,충청북도 충주시,충청북도,충주시,210737,983.477555,214.27738633038757
0.0,1.0,3.0,4.0,4.0,1.0,제주특별자치도 서귀포시,제주특별자치도,서귀포시,181584,871.558431,208.34403470993442
0.0,1.0,1.0,12.0,2.0,0.16666666666666666,충청남도 아산시,충청남도,아산시,314395,542.795756,579.2141823599667
0.0,0.0,1.0,3.0,1.0,0.3333333333333333,강원도 동해시,강원도,동해시,90522,180.20198,502.3363228306371
0.0,0.0,1.0,4.0,1.0,0.25,경기도 의왕시,경기도,의왕시,161153,53.987611,2984.9996511236623
0.0,0.0,1.0,3.0,1.0,0.3333333333333333,경상남도 밀양시,경상남도,밀양시,105552,798.671224,132.15951298628482
0.0,0.0,1.0,3.0,1.0,0.3333333333333333,경상남도 통영시,경상남도,통영시,131404,239.860468,547.8351689032809
0.0,0.0,1.0,2.0,1.0,0.5,경상북도 영천시,경상북도,영천시,102470,919.20514,111.47674826970615
0.0,0.0,2.0,6.0,2.0,0.3333333333333333,대전광역시 대덕구,대전광역시,대덕구,177031,68.713031,2576.381763744347
0.0,0.0,1.0,4.0,1.0,0.25,부산광역시 강서구,부산광역시,강서구,129566,181.494645,713.8833214610822
0.0,0.0,2.0,3.0,2.0,0.6666666666666666,부산광역시 동구,부산광역시,동구,88165,9.865235,8936.938653767498
0.0,0.0,3.0,4.0,3.0,0.75,부산광역시 수영구,부산광역시,수영구,176148,10.212429,17248.39408920248
0.0,0.0,1.0,2.0,1.0,0.5,부산광역시 영도구,부산광역시,영도구,116711,14.199595,8219.318931279378
0.0,0.0,1.0,7.0,1.0,0.14285714285714285,울산광역시 울주군,울산광역시,울주군,223167,758.13001,294.3650786228605
0.0,0.0,1.0,3.0,1.0,0.3333333333333333,충청남도 논산시,충청남도,논산시,118842,555.580413,213.9060291169768
0.0,0.0,1.0,4.0,1.0,0.25,충청북도 제천시,충청북도,제천시,134617,883.422112,152.38128882153225
0.0,0.0,0.0,1.0,0.0,0.0,강원도 고성군,강원도,고성군,27260,660.707506,41.25880174274878
0.0,0.0,0.0,1.0,0.0,0.0,강원도 삼척시,강원도,삼척시,67228,1187.839038,56.596893896662785
0.0,0.0,0.0,1.0,0.0,0.0,강원도 양구군,강원도,양구군,22764,661.819106,34.39610581444894
0.0,0.0,0.0,1.0,0.0,0.0,강원도 양양군,강원도,양양군,27726,630.079403,44.003977701838956
0.0,0.0,0.0,1.0,0.0,0.0,강원도 영월군,강원도,영월군,39127,1127.289702,34.70891282922409
0.0,0.0,0.0,3.0,0.0,0.0,강원도 인제군,강원도,인제군,31672,1644.967141,19.25388003844631
0.0,0.0,0.0,1.0,0.0,0.0,강원도 정선군,강원도,정선군,37271,1219.777976,30.555560711320794
0.0,0.0,0.0,2.0,0.0,0.0,강원도 철원군,강원도,철원군,45584,889.682311,51.23626651491332
0.0,0.0,0.0,1.0,0.0,0.0,강원도 태백시,강원도,태백시,43866,303.521188,144.5236831374026
0.0,0.0,0.0,3.0,0.0,0.0,강원도 평창군,강원도,평창군,42106,1463.928054,28.762342442274146
0.0,0.0,0.0,2.0,0.0,0.0,강원도 화천군,강원도,화천군,24917,908.931856,27.413496221437306
0.0,0.0,0.0,1.0,0.0,0.0,강원도 횡성군,강원도,횡성군,46575,998.066556,46.66522459850864
0.0,0.0,0.0,5.0,0.0,0.0,경기도 가평군,경기도,가평군,62415,843.690575,73.97854361476067
0.0,0.0,0.0,2.0,0.0,0.0,경기도 여주시,경기도,여주시,111083,608.298372,182.6126866570013
0.0,0.0,0.0,1.0,0.0,0.0,경기도 연천군,경기도,연천군,43824,676.318066,64.79791418140233
0.0,0.0,0.0,1.0,0.0,0.0,경상남도 거창군,경상남도,거창군,62179,803.312949,77.40320889561559
0.0,0.0,0.0,1.0,0.0,0.0,경상남도 고성군,경상남도,고성군,52276,517.957151,100.92726763029091
0.0,0.0,0.0,1.0,0.0,0.0,경상남도 남해군,경상남도,남해군,43622,357.545659,122.00399837605076
0.0,0.0,0.0,1.0,0.0,0.0,경상남도 산청군,경상남도,산청군,35417,794.604515,44.57185849239732
0.0,0.0,0.0,1.0,0.0,0.0,경상남도 의령군,경상남도,의령군,27168,482.91083,56.25883354075948
0.0,0.0,0.0,2.0,0.0,0.0,경상남도 창녕군,경상남도,창녕군,62331,532.830708,116.98087040433865
0.0,0.0,0.0,1.0,0.0,0.0,경상남도 하동군,경상남도,하동군,46574,675.236982,68.9743027137693
0.0,0.0,0.0,1.0,0.0,0.0,경상남도 함안군,경상남도,함안군,65700,416.60201,157.7044719491392
0.0,0.0,0.0,1.0,0.0,0.0,경상남도 함양군,경상남도,함양군,39637,725.485214,54.63515897375684
0.0,0.0,0.0,1.0,0.0,0.0,경상남도 합천군,경상남도,합천군,45204,983.507159,45.96204469519271
0.0,0.0,0.0,1.0,0.0,0.0,경상북도 고령군,경상북도,고령군,32373,384.059802,84.29156040652232
0.0,0.0,0.0,3.0,0.0,0.0,경상북도 문경시,경상북도,문경시,72242,911.902545,79.22118475938676
0.0,0.0,0.0,1.0,0.0,0.0,경상북도 봉화군,경상북도,봉화군,32150,1202.034344,26.746323980240618
0.0,0.0,0.0,1.0,0.0,0.0,경상북도 성주군,경상북도,성주군,44015,616.106444,71.44057723895516
0.0,0.0,0.0,1.0,0.0,0.0,경상북도 영덕군,경상북도,영덕군,37361,741.220163,50.40472705003844
0.0,0.0,0.0,1.0,0.0,0.0,경상북도 예천군,경상북도,예천군,55100,661.483887,83.29756942363737
0.0,0.0,0.0,1.0,0.0,0.0,경상북도 울릉군,경상북도,울릉군,9617,72.942203,131.84411224870738
0.0,0.0,0.0,1.0,0.0,0.0,경상북도 울진군,경상북도,울진군,49314,990.043224,49.80994647967006
0.0,0.0,0.0,1.0,0.0,0.0,경상북도 의성군,경상북도,의성군,52595,1174.734216,44.77182947738367
0.0,0.0,0.0,1.0,0.0,0.0,경상북도 청도군,경상북도,청도군,42910,693.810304,61.846876232037054
0.0,0.0,0.0,2.0,0.0,0.0,경상북도 칠곡군,경상북도,칠곡군,117047,450.937034,259.5639549977614
0.0,0.0,0.0,2.0,0.0,0.0,부산광역시 서구,부산광역시,서구,108229,13.979612,7741.917300709061
0.0,0.0,0.0,4.0,0.0,0.0,부산광역시 중구,부산광역시,중구,41910,2.825782,14831.292718263476
0.0,0.0,0.0,2.0,0.0,0.0,부산광역시 진구,부산광역시,진구,357880,29.666238,12063.545097966247
0.0,0.0,0.0,1.0,0.0,0.0,인천광역시 강화군,인천광역시,강화군,69178,411.411035,168.14813924473367
0.0,0.0,0.0,1.0,0.0,0.0,인천광역시 옹진군,인천광역시,옹진군,20566,172.904214,118.94446945058263
0.0,0.0,0.0,1.0,0.0,0.0,전라남도 강진군,전라남도,강진군,35286,500.909508,70.44386148884999
0.0,0.0,0.0,1.0,0.0,0.0,전라남도 고흥군,전라남도,고흥군,64913,807.372281,80.4003326936115
0.0,0.0,0.0,1.0,0.0,0.0,전라남도 곡성군,전라남도,곡성군,28887,547.467005,52.764823699283944
0.0,0.0,0.0,1.0,0.0,0.0,전라남도 구례군,전라남도,구례군,26563,443.243407,59.92869737146479
0.0,0.0,0.0,1.0,0.0,0.0,전라남도 담양군,전라남도,담양군,46535,455.091603,102.25413893211297
0.0,0.0,0.0,1.0,0.0,0.0,전라남도 보성군,전라남도,보성군,41420,664.012341,62.37835871788413
0.0,0.0,0.0,1.0,0.0,0.0,전라남도 영광군,전라남도,영광군,53852,474.963093,113.38144119757953
0.0,0.0,0.0,2.0,0.0,0.0,전라남도 영암군,전라남도,영암군,54593,612.561438,89.1224889673842
