버거킹,KFC,맥도날드,롯데리아,BKM,버거지수,주소,주소1,주소2
0,0,0,4,0,0.0,부산광역시 중구,부산광역시,중구
0,0,0,2,0,0.0,부산광역시 진구,부산광역시,진구
0,0,0,10,0,0.0,세종특별자치시 세종특별자치시,세종특별자치시,세종특별자치시
0,0,0,1,0,0.0,울산광역시 을주군,울산광역시,을주군
0,0,0,1,0,0.0,인천광역시 강화군,인천광역시,강화군
0,0,0,1,0,0.0,인천광역시 옹진군,인천광역시,옹진군
0,0,0,1,0,0.0,전라남도 강진군,전라남도,강진군
0,0,0,1,0,0.0,전라남도 고흥군,전라남도,고흥군
0,0,0,1,0,0.0,전라남도 곡성군,전라남도,곡성군
0,0,0,1,0,0.0,전라남도 구례군,전라남도,구례군
0,0,0,1,0,0.0,전라남도 담양군,전라남도,담양군
0,0,0,1,0,0.0,전라남도 보성군,전라남도,보성군
0,0,0,1,0,0.0,전라남도 영광군,전라남도,영광군
0,0,0,2,0,0.0,전라남도 영암군,전라남도,영암군
0,0,0,1,0,0.0,전라남도 완도군,전라남도,완도군
0,0,0,1,0,0.0,전라남도 장성군,전라남도,장성군
0,0,0,1,0,0.0,전라남도 장흥군,전라남도,장흥군
0,0,0,1,0,0.0,전라남도 진도군,전라남도,진도군
0,0,0,1,0,0.0,전라남도 함평군,전라남도,함평군
0,0,0,1,0,0.0,전라남도 해남군,전라남도,해남군
0,0,0,1,0,0.0,전라남도 화순군,전라남도,화순군
0,0,0,1,0,0.0,전라북도 고창군,전라북도,고창군
0,0,0,1,0,0.0,전라북도 김제시,전라북도,김제시
0,0,0,2,0,0.0,전라북도 남원시,전라북도,남원시
0,0,0,2,0,0.0,전라북도 무주군,전라북도,무주군
0,0,0,1,0,0.0,전라북도 부안군,전라북도,부안군
0,0,0,1,0,0.0,전라북도 순창군,전라북도,순창군
0,0,0,2,0,0.0,전라북도 완주군,전라북도,완주군
0,0,0,1,0,0.0,전라북도 임실군,전라북도,임실군
0,0,0,1,0,0.0,전라북도 장수군,전라북도,장수군
0,0,0,1,0,0.0,전라북도 진안군,전라북도,진안군
0,0,0,1,0,0.0,충청남도 계룡시,충청남도,계룡시
0,0,0,2,0,0.0,충청남도 공주시,충청남도,공주시
0,0,0,1,0,0.0,충청남도 금산군,충청남도,금산군
0,0,0,1,0,0.0,충청남도 당진군,충청남도,당진군
0,0,0,2,0,0.0,충청남도 부여군,충청남도,부여군
0,0,0,2,0,0.0,충청남도 서천군,충청남도,서천군
0,0,0,1,0,0.0,충청남도 예산군,충청남도,예산군
0,0,0,1,0,0.0,충청남도 청양군,충청남도,청양군
0,0,0,1,0,0.0,충청남도 태안군,충청남도,태안군
0,0,0,1,0,0.0,충청북도 괴산군,충청북도,괴산군
0,0,0,1,0,0.0,충청북도 단양군,충청북도,단양군
0,0,0,1,0,0.0,충청북도 보은군,충청북도,보은군
0,0,0,1,0,0.0,충청북도 영동군,충청북도,영동군
0,0,0,2,0,0.0,충청북도 옥천군,충청북도,옥천군
0,0,0,1,0,0.0,충청북도 증평군,충청북도,증평군
0,0,0,4,0,0.0,충청북도 청원군,충청북도,청원군
