지점명,주소,주소1,주소2,주소3
경기대역,경기도 수원시 영통구 대학4로 9,경기도,수원시,영통구 대학4로 9
용인모현,경기도 용인시 처인구 모현면 백옥대로 2387,경기도,용인시,처인구 모현면 백옥대로 2387
평택안중D/I,경기도 평택시 안중읍 안현로서9길 5,경기도,평택시,안중읍 안현로서9길 5
남성역,서울특별시 동작구 사당로 200,서울특별시,동작구,사당로 200
울산옥동타워,울산광역시 남구 문수로 399,울산광역시,남구,문수로 399
부산재송,부산광역시 해운대구 재반로 86,부산광역시,해운대구,재반로 86
용인천리,경기도 용인시 처인구 이동면 백옥대로 641,경기도,용인시,처인구 이동면 백옥대로 641
수지풍덕천,경기도 용인시 수지구 풍덕천로 133,경기도,용인시,수지구 풍덕천로 133
이천하이닉스,경기도 이천시 경충대로 2096-4,경기도,이천시,경충대로 2096-4
오창2산단,충청북도 청주시 청원구 오창읍 주성1길 5,충청북도,청주시,청원구 오창읍 주성1길 5
부산민락,부산광역시 수영구 광안해변로 282,부산광역시,수영구,광안해변로 282
고성간성,강원도 고성군 간성읍 간성로 59-1,강원도,고성군,간성읍 간성로 59-1
세종종촌,세종특별자치시  도움1로 108,세종특별자치시,,도움1로 108
전남함평,전라남도 함평군 함평읍 중앙길 21,전라남도,함평군,함평읍 중앙길 21
광주백운,광주광역시 남구 독립로 100-1,광주광역시,남구,독립로 100-1
현풍테크노폴리스,대구광역시 달성군 유가면 테크노대로 61,대구광역시,달성군,유가면 테크노대로 61
안산부곡,경기도 안산시 상록구 부곡로 118,경기도,안산시,상록구 부곡로 118
의정부민락,"경기도 의정부시 천보로 44, 해동본타워 1층 102호",경기도,의정부시,"천보로 44, 해동본타워 1층 102호"
인덕원역,경기도 안양시 동안구 흥안대로 527,경기도,안양시,동안구 흥안대로 527
부산신호,부산광역시 강서구 신호산단2로27번길 3,부산광역시,강서구,신호산단2로27번길 3
김천혁신도시,경상북도 김천시 혁신4로 7,경상북도,김천시,혁신4로 7
울산명촌,울산광역시 북구 명촌로 45,울산광역시,북구,명촌로 45
청주내수,충청북도 청주시 청원구 내수읍 마산2길 49,충청북도,청주시,청원구 내수읍 마산2길 49
주안,인천광역시 남구 주안로 지하86,인천광역시,남구,주안로 지하86
동탄커뮤니티,"경기도 화성시 동탄순환대로 685, 104호",경기도,화성시,"동탄순환대로 685, 104호"
춘천우두,강원도 춘천시 충열로 39,강원도,춘천시,충열로 39
위례역,경기도 성남시 수정구 위례광장로 25,경기도,성남시,수정구 위례광장로 25
평택청북D/T,경기도 평택시 청북면 서해로 1540,경기도,평택시,청북면 서해로 1540
대구율하중앙,대구광역시 동구 안심로22길 40-5,대구광역시,동구,안심로22길 40-5
충남도청,충청남도 홍성군 홍북면 의향로 263,충청남도,홍성군,홍북면 의향로 263
무주리조트,"전라북도 무주군 설천면 만선로 185, 1층",전라북도,무주군,"설천면 만선로 185, 1층"
구월아시아드,인천광역시 남구 인하로 563,인천광역시,남구,인하로 563
롯데마트마산양덕,경상남도 창원시 마산회원구 삼호로 80,경상남도,창원시,마산회원구 삼호로 80
시흥하중,경기도 시흥시 하중로 213-1,경기도,시흥시,하중로 213-1
천안불당,충청남도 천안시 서북구 불당10길 -,충청남도,천안시,서북구 불당10길 -
보령동대,충청남도 보령시 주공로 5,충청남도,보령시,주공로 5
용산서계,서울특별시 마포구 만리재로 150-1,서울특별시,마포구,만리재로 150-1
파주당동,경기도 파주시 문산읍 방촌로 1719-57,경기도,파주시,문산읍 방촌로 1719-57
구미문성,경상북도 구미시 고아읍 들성로 213,경상북도,구미시,고아읍 들성로 213
세종부강,세종특별자치시  부강면 부강로 42,세종특별자치시,,부강면 부강로 42
홈플러스송도,인천광역시 연수구 송도국제대로 -,인천광역시,연수구,송도국제대로 -
인천학산,인천광역시 남구 한나루로 389,인천광역시,남구,한나루로 389
울산반구,울산광역시 중구 염포로 21,울산광역시,중구,염포로 21
전남구례,전라남도 구례군 구례읍 봉성로 70,전라남도,구례군,구례읍 봉성로 70
김천모다아울렛,"경상북도 김천시 아포읍 아포대로 1417, 김천모다아울렛 101동 3층",경상북도,김천시,"아포읍 아포대로 1417, 김천모다아울렛 101동 3층"
제주한림,제주특별자치도 제주시 한림읍 936-7,제주특별자치도,제주시,한림읍 936-7
거제상문,경상남도 거제시 상동동 590-1,경상남도,거제시,상동동 590-1
자운대,대전광역시 유성구 자운로97번길 1층,대전광역시,유성구,자운로97번길 1층
롯데아울렛고양터미널,경기도 고양시 일산동구 백석동 1242,경기도,고양시,일산동구 백석동 1242
창원감계,경상남도 창원시 의창구 북면 동전로45번길 23,경상남도,창원시,의창구 북면 동전로45번길 23
삼양사거리,서울특별시 강북구 미아동 701-5,서울특별시,강북구,미아동 701-5
전주도청,전라북도 전주시 완산구 효자동2가 1239-4,전라북도,전주시,완산구 효자동2가 1239-4
인천공항A/S동편,인천광역시 중구 운서동 2851,인천광역시,중구,운서동 2851
청주강내,충청북도 청원군 강내면 탑연리 277-2,충청북도,청원군,강내면 탑연리 277-2
패션아일랜드대전,대전광역시 동구 가오동 557,대전광역시,동구,가오동 557
용인휴게소(상),경기도 용인시 처인구 고림동 89,경기도,용인시,처인구 고림동 89
부산송도,부산광역시 서구 암남동 334-11,부산광역시,서구,암남동 334-11
서대문역,서울특별시 서대문구 충정로2가 8-2,서울특별시,서대문구,충정로2가 8-2
